,Unnamed: 0,Name,Constituency,Party,Cases,Education,Assets,Liabilities
78,78,Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"27,09,59,520","7,28,107"
79,79,"Abu Hena, S/O - Late Abdus Sattar",MURSHIDABAD,INC,0,Post Graduate,"80,21,988",0
80,80,"Abu Hena, S/O - Sazzad Ali",MURSHIDABAD,IND,0,12th Pass,"7,25,512",0
81,81,Abu Taher Bepari,DHUBRI,INC,1,Post Graduate,"3,73,95,652","22,10,543"
82,82,Abu Taher Khan,MURSHIDABAD,AITC,3,8th Pass,"89,26,616","13,50,000"
83,83,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"12,44,722",0
84,84,Ad. Karande Manisha Manohar,SOLAPUR,IND,0,Graduate Professional,"20,000",0
85,85,Ad. Vikram Uttam Kasabe,SOLAPUR,IND,0,Post Graduate,"99,924",0
86,86,Adagal Rajendra,BAGALKOT,Bahujan Mukti Party,0,12th Pass,"18,58,950","8,50,000"
87,87,Adakmol Rohidas Ramesh,RAVER,Ambedkarite Party of India,0,12th Pass,"2,26,000",0
88,88,Adala Prabhakara Reddy,NELLORE,YSRCP,0,12th Pass,"2,21,16,63,364","15,22,81,255"
89,89,Adari Anand Kumar,ANAKAPALLE,TDP,0,10th Pass,"41,05,47,212","20,55,91,400"
90,90,Adhik Sampat Channe,SANGLI,IND,2,Graduate,"6,65,000",0
91,91,Adhikary Paresh Chandra,COOCH BEHAR,AITC,0,12th Pass,"4,17,75,148","41,20,964"
92,92,Adinarayana Inty,NANDYAL,BJP,1,Post Graduate,"3,38,85,898","44,79,155"
93,93,Adiraju Yedla,VIZIANAGARAM,INC,0,Post Graduate,"4,72,14,000","30,88,876"
94,94,Aditya Pradhan,NAWADA,Peoples Party of India (Democratic),0,Post Graduate,"34,06,595","1,63,050"
95,95,Admala Mahipal Reddy,NIZAMABAD,IND,0,12th Pass,"16,20,000","1,00,000"
96,96,Adoor Prakash,ATTINGAL,INC,7,Graduate Professional,"14,40,98,612","2,76,22,685"
97,97,Adv Narendra Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,"1,45,26,550",0
98,98,Adv. Basheer Alady,KASARAGOD,BSP,0,Post Graduate,"14,38,476",0
99,99,Adv. Bhaskar Marotrao Neware,WARDHA,IND,0,Post Graduate,"1,35,345",0
