,Assets,Cases,Constituency,Education,Liabilities,Name,Party
85,0,0,SOLAPUR,Post Graduate,0,Ad. Vikram Uttam Kasabe,IND
86,0,0,BAGALKOT,12th Pass,"8,50,000",Adagal Rajendra,Bahujan Mukti Party
87,0,0,RAVER,12th Pass,0,Adakmol Rohidas Ramesh,Ambedkarite Party of India
88,0,0,NELLORE,12th Pass,"15,22,81,255",Adala Prabhakara Reddy,YSRCP
89,0,0,ANAKAPALLE,10th Pass,"20,55,91,400",Adari Anand Kumar,TDP
90,0,2,SANGLI,Graduate,0,Adhik Sampat Channe,IND
91,0,0,COOCH BEHAR,12th Pass,"41,20,964",Adhikary Paresh Chandra,AITC
92,0,1,NANDYAL,Post Graduate,"44,79,155",Adinarayana Inty,BJP
93,0,0,VIZIANAGARAM,Post Graduate,"30,88,876",Adiraju Yedla,INC
94,0,0,NAWADA,Post Graduate,"1,63,050",Aditya Pradhan,Peoples Party of India (Democratic)
95,0,0,NIZAMABAD,12th Pass,"1,00,000",Admala Mahipal Reddy,IND
96,0,7,ATTINGAL,Graduate Professional,"2,76,22,685",Adoor Prakash,INC
97,0,0,SOUTH GOA,Graduate Professional,0,Adv Narendra Sawaikar,BJP
98,0,0,KASARAGOD,Post Graduate,0,Adv. Basheer Alady,BSP
99,0,0,WARDHA,Post Graduate,0,Adv. Bhaskar Marotrao Neware,IND
100,0,1,PONNANI,Graduate Professional,0,Adv. K.C. Nazeer,SDPI
101,0,0,PUNE,Graduate Professional,"4,32,900",Adv. Kumar Devba Kalel Patil,IND
102,0,0,PUNE,Post Graduate,"94,000",Adv. Mahesh Gajendragadkar,Swarna Bharat Party
103,0,0,PUNE,Graduate Professional,0,Adv. Ramesh Devaram Dharmavat,People’s Union Party
104,0,3,MADHA,Others,"15,65,000",Adv. Sachin Bhaskar Jore,IND
105,0,0,RATNAGIRI SINDHUDURG,Graduate Professional,0,Adv. Sanjay Sharad Gangnaik8,Samajwadi Forward Bloc
106,0,0,BEED,Post Graduate,0,Adv. Sharad Bahinaji Kamble,IND
107,0,1,WAYANAD,Graduate Professional,"4,76,158",Adv. Sreejith P R,IND
108,0,0,NAGPUR,Graduate Professional,0,Adv. Ulhas Shalikaram Dupare,IND
109,0,0,NAGPUR,Graduate Professional,0,Adv. Vijaya Dilip Bagde,Ambedkarite Party of India
110,0,0,MADHA,Graduate Professional,0,Adv. Vijayanand Shankarrao Shinde,IND
111,0,0,JALNA,Post Graduate,0,Adv. Yogesh Dattu Gullapelli,IND
112,0,0,BARAMATI,Graduate,0,Adv.Girish Madan Patil,IND
113,0,0,KOLLAM,Post Graduate,"64,00,000",Adv.K.V.Sabu,BJP
114,0,22,KOZHIKODE,Post Graduate,"3,43,064",Adv.Prakash Babu,BJP
115,0,0,RAIGANJ,Post Graduate,0,Advocate Anjay Debsarma,IND
116,0,2,MEERUT,8th Pass,"50,000",Afzaal,Bahujan Maha Party
117,0,0,SRINAGAR,12th Pass,0,Aga Syed Mohsin,Peoples Democratic Party
118,0,4,RAIGANJ,Post Graduate,0,Agarwal Kanaialal,AITC
119,0,0,TURA,Post Graduate,0,Agatha K. Sangma,NPP
120,0,0,CHENNAI SOUTH,10th Pass,0,Agni Sriramachandran,IND
121,0,1,TIRUVANNAMALAI,Graduate Professional,"98,87,013",Agri Krishnamurthy S S,AIADMK
122,0,0,SALEM,Post Graduate,0,Ahamed Shahjahan.M,IND
123,0,0,JALNA,12th Pass,0,Ahemad Rahim Shaikh,IND
124,0,0,CHANDRAPUR,10th Pass,"45,386",Ahir Hansraj Gangaramji,BJP
125,0,0,KURNOOL,12th Pass,0,Ahmed Ali Khan,INC
126,0,0,BANGALORE NORTH,10th Pass,0,Ahmed Khan,Bahujan Maha Party
127,0,0,KARIMNAGAR,Illiterate,0,Aila Prasanna,Anti Corruption Dynamic Party
128,0,0,MANGALDOI,10th Pass,0,Ainul Haque,Asom Jana Morcha
129,0,2,NORTH GOA,10th Pass,0,Aishwarya Arjun Salgaonkar,IND
130,0,0,HATKANANGLE,Literate,0,Aitawade Vidyasagar Devappa,IND
131,0,0,WARANGAL,12th Pass,0,Aitha Praveen Kumar,IND
132,0,0,NAINITAL-UDHAMSINGH NAGAR,Graduate Professional,0,Ajay Bhatt,BJP
133,0,0,RAIPUR,Graduate,0,Ajay Chakole,Gondvana Gantantra Party
134,0,0,DARJEELING,12th Pass,0,Ajay Dahal,IND
135,0,1,JAMUI,Post Graduate,0,Ajay Kumar,Bhartiya Dalit Party
136,0,0,JAMMU,Post Graduate,"33,54,000",Ajay Kumar,IND
137,0,0,BHAGALPUR,8th Pass,"53,64,747",Ajay Kumar Mandal,JD(U)
138,0,0,RAJNANDGAON,5th Pass,880,Ajay Pali,SHS
139,0,0,HATKANANGLE,Graduate,0,Ajay Prakash Kurane,BSP
140,0,0,ALMORA,12th Pass,"55,845",Ajay Tamta,BJP
141,0,0,MAVELIKKARA,10th Pass,0,Ajayakumar,IND
142,0,0,KRISHNAGIRI,Graduate Professional,0,Ajaz.S,IND
143,0,0,ALIGARH,Doctorate,0,Ajeet Kumar,BSP
144,0,0,MAVELIKKARA,10th Pass,"1,50,000",Aji Pathanapuram,IND
145,0,0,MADHA,Post Graduate,"1,65,856",Ajinath Laxman Kevate,IND
146,0,0,MADHA,Post Graduate,0,Ajinkya Aakaram Salunkhe,IND
147,0,0,RAVER,8th Pass,0,Ajit Namdar Tadvi,Rastriya Aam Jan Seva Party
148,0,0,MUZAFFARNAGAR,Post Graduate,0,Ajit Singh,RLD
149,0,3,ATTINGAL,Graduate Professional,"2,00,000",Ajmal Ismail,SDPI
150,0,0,KARIMGANJ,12th Pass,0,Ajoy Kumar Sarkar,AIFB
151,0,0,MORADABAD,Literate,0,Akeel,IND
152,0,0,SECUNDERABAD,Post Graduate,0,Akhil Chirravuri,IND
153,0,0,ALAPPUZHA,12th Pass,0,Akhilesh,Ambedkarite Party of India
154,0,0,AMROHA,Literate,"1,50,000",Akhtar,IND
155,0,4,KISHANGANJ,Post Graduate,"19,08,918",Akhtarul Iman,All India Majlis-E-Ittehadul Muslimeen
156,0,0,RAIGANJ,Graduate,0,Akik Hossain Chowdhury,Kamatapur Peoples Party (United)
157,0,0,FIROZABAD,Graduate Professional,"5,03,58,593",Akshay Yadav,SP
158,0,0,CUTTACK,Graduate,0,Akshaya Kumar Kar,Krupaa Party
159,0,0,NIZAMABAD,Literate,0,Akula Hanmandlu,IND
160,0,0,NALGONDA,10th Pass,0,Akula Paul,Pyramid Party of India
161,0,0,RAJAHMUNDRY,Post Graduate,"46,19,54,372",Akula Satyanarayana,Janasena Party
162,0,0,MALDAHA UTTAR,Illiterate,0,Al Monowara Begam,IND
163,0,0,ELURU,10th Pass,0,Alaga Ravi Kumar,IND
164,0,6,CHENNAI NORTH,12th Pass,"28,31,960",Alagaapuram R. Mohanraj,DMDK
165,0,0,MADURAI,Graduate Professional,"46,76,374",Alagar M,Makkal Needhi Maiam
166,0,0,MADURAI,5th Pass,0,Alagar P,Desiya Makkal Sakthi Katchi
167,0,3,VIRUDHUNAGAR,10th Pass,"3,38,783","Alagarsamy, R.",DMDK
168,0,0,MYSORE,Graduate Professional,0,Alagudu Lingaraju,IND
169,0,0,DHUBRI,Graduate,0,Alakesh Roy,Hindusthan Nirman Dal
170,0,0,NIZAMABAD,Illiterate,0,Alakunta Rajanna,IND
171,0,1,PARBHANI,Graduate,0,Alamgir Mohammad Khan,Vanchit Bahujan Aaghadi
172,0,0,CHIKKBALLAPUR,10th Pass,0,Alanguru Kanakalakshmi,IND
173,0,0,BARAMATI,Post Graduate,0,Alankruta Abhijeet Awade-Bichukale,IND
174,0,1,NIZAMABAD,Illiterate,"2,30,000",Aleti Malla Reddy,IND
175,0,0,NIZAMABAD,10th Pass,"1,00,000",Aleti Rajareddy,IND
176,0,0,NIZAMABAD,10th Pass,"10,20,000",Aleti Sanjeev Reddy,IND
177,0,1,DAKSHINA KANNADA,Graduate,"8,50,000",Alexander,IND
178,0,0,THENI,Graduate Professional,0,Alexpandian S,IND
179,0,0,LAKSHADWEEP,10th Pass,0,Ali Akbar K.,CPI
180,0,0,NAGPUR,Graduate Professional,"9,00,000",Ali Ashfaque Ahmed,Bahujan Mukti Party
181,0,0,ZAHIRABAD,Graduate,0,Alige Jeevan,Bahujan Mukti Party
182,0,0,JAMNAGAR,5th Pass,"38,000",Alimamad Palani,IND
183,0,0,GAUHATI,Post Graduate,"29,14,356",Alimuddin Ahmed,IND
184,0,0,KISHANGANJ,10th Pass,"1,05,000",Alimuddin Ansari,AAP
185,0,0,MYSORE,Post Graduate,0,Alishan. S,IND
186,0,0,RAMANATHAPURAM,Graduate,"5,00,000",Alla Pichai,IND
187,0,0,NARASARAOPET,Graduate Professional,"12,90,000",Allu Venkata Reddy,Pyramid Party of India
188,0,0,NIZAMABAD,Illiterate,0,Alluri Limba Reddy,IND
189,0,0,NIZAMABAD,10th Pass,0,Aloori Anil Kumar,IND
190,0,0,PORBANDAR,Graduate,0,Alpesh Vadoliya,IND
191,0,1,ERNAKULAM,Graduate,0,Alphons Kannanthanam,BJP
192,0,0,HINGOLI,Graduate,"5,80,000",Altaf Ahmed,IUML
193,0,0,VADAKARA,8th Pass,"7,50,000",Aluva Aneesh,IND
194,0,1,THOOTHUKKUDI,12th Pass,0,Amalan Rajiv Bonifas,IND
195,0,0,JAMNAGAR,Literate,0,Amandbhai,IND
196,0,0,SAHARANPUR,5th Pass,"8,85,528",Amar Bahadur,IND
197,0,0,TRIPURA EAST,12th Pass,0,Amar Debbarma,IND
198,0,0,ALIGARH,Graduate Professional,"4,74,336",Amar Singh Mahaur,Swatantra Jantaraj Party
199,0,2,DARJEELING,Post Graduate,"1,20,000",Amar Singh Rai,AITC
200,0,1,RAJKOT,Post Graduate,0,Amardas Desani,IND
201,0,4,BANKA,12th Pass,"22,50,000",Amarjeet Kumar,IND
202,0,0,AMRAVATI,8th Pass,0,Ambadas Shamrao Wankhade,IND
203,0,0,PEDDAPALLE,12th Pass,0,Ambala Mahendar	,IND
204,0,0,AKOLA,Graduate Professional,0,Ambedkar Prakash Yashwant,Vanchit Bahujan Aaghadi
205,0,1,AGRA,Literate,"85,000",Ambedkari Hasnuram Ambedkari,IND
206,0,1,RATNAGIRI SINDHUDURG,8th Pass,0,Amberkar Pandharinath Vidyadhar,IND
207,0,0,NAGAPATTINAM,12th Pass,0,Ambikapathi D,"Makkal Sananayaga Kudiyarasu Katchi,"
208,0,0,BIDAR,Graduate,"9,26,000",Ambresh Kencha,Uttama Prajaakeeya Party
209,0,0,HARIDWAR,Post Graduate,0,Ambrish Kumar,INC
210,0,0,BANGALORE SOUTH,Post Graduate,0,Ambrose D Mello,IND
211,0,0,KADAPA,Post Graduate,"9,000",Ameen Peeran Shaik,Ambedkar National Congress
212,0,0,NAGINA,8th Pass,0,Amichand,Rashtriya Samanta Dal
213,0,0,KANDHAMAL,Post Graduate,0,Amir Nayak,BSP
214,0,0,BANGALORE NORTH,Others,0,Amirtha Jai Kumar Essac Yesaiah,Karnataka Karmikara Paksha
215,0,0,NORTH GOA,Graduate,"1,05,000",Amit Atmaram Korgaonkar,Republican Party of India (Kamble)
216,0,4,GANDHINAGAR,12th Pass,"47,69,587",Amit Shah,BJP
217,0,0,GHAZIABAD,10th Pass,"3,41,233",Amit Sharma,IND
218,0,0,LAKHIMPUR,Post Graduate,0,Amiya Kumar Handique,CPI(M)
219,0,3,PUNE,12th Pass,0,Amol Alias Yabes S. Tujare,IND
220,0,0,PUNE,Post Graduate,0,Amol Jayraj Shinde,Hum Bhartiya Party
221,0,0,RAIGARH,10th Pass,0,Amrit Tirkey,Pragatishil Samajwadi Party (Lohia)
222,0,1,UDUPI CHIKMAGALUR,Post Graduate,"34,25,000",Amrith Shenoy P,IND
223,0,0,NAVSARI,10th Pass,"1,70,000",Amrutham Narsaiya,Pyramid Party of India
224,0,1,KARIMNAGAR,Graduate,"3,50,000",Anagandula Venkanna,BSP
225,0,0,DHUBRI,Post Graduate,0,Anamika Sarkar,IND
226,0,1,UTTARA KANNADA,Post Graduate,"2,38,00,806",Anand Asnotikar,JD(S)
227,0,0,CHAMARAJANAGAR,10th Pass,0,Anand Jivan Ram,IND
228,0,0,MYSORE,10th Pass,"28,50,000",Anand Kumar. M,IND
229,0,1,SUPAUL,Graduate,0,Anand Pathak,Hind Samrajya Party
230,0,0,ETAH,Post Graduate,0,Anand Prakash Singh Rajput,Rashtriya Backward Party
231,0,0,PUNE,Others,"21,00,000",Anand Prakash Vanjape,IND
232,0,0,BELGAUM,Graduate Professional,"2,50,000",Anand Ramesh Patil,IND
233,0,0,RAMANATHAPURAM,12th Pass,"4,50,000",Anandharaj. M,IND
234,0,0,TIRUCHIRAPPALLI,Graduate,"5,67,000",Anandharaja. V,Makkal Needhi Maiam
235,0,0,GARHWAL,8th Pass,0,Anandmani Dutt Joshi,IND
236,0,0,PERAMBALUR,Others,0,"Anandraj, B.",IND
237,0,0,HATKANANGLE,8th Pass,"70,00,000",Anandrao Vasantrao Sarnaik (Fouji Bapu),IND
238,0,2,AMRAVATI,Graduate,"85,45,894",Anandrao Vithoba Adsul,SHS
239,0,0,VIZIANAGARAM,8th Pass,"17,02,000",Anandsagar Pogru,Samaanya Praja Party
240,0,0,RAIGAD,10th Pass,"2,13,41,268",Anant Gangaram Geete,SHS
241,0,0,JALGAON,Graduate,0,Anant Prabhakar Mahajan,IND
242,0,0,BULDHANA,10th Pass,"40,000",Ananta Datta Puri,IND
243,0,1,KEONJHAR,12th Pass,"5,33,728",Ananta Nayak,BJP
244,0,0,SRIPERUMBUDUR,Graduate,0,Anantharaman R K,IND
245,0,0,ERODE,Post Graduate,0,Ananthi S,IND
246,0,0,DINDIGUL,Illiterate,0,"Ananthraj, T",IND
247,0,4,UTTARA KANNADA,12th Pass,"4,10,16,655",Anantkumar Hegde,BJP
248,0,0,TIRUVANNAMALAI,Graduate Professional,"1,20,000",Anbalagan M,IND
249,0,0,VILUPPURAM,12th Pass,"5,75,000",Anbalagan T,IND
250,0,0,KARUR,Graduate Professional,0,Anbazhagan T,IND
251,0,1,VILUPPURAM,Post Graduate,0,Anbin Poyyamozhi S,Makkal Needhi Maiam
252,0,0,KARUR,Post Graduate,0,Anbukani S,IND
253,0,12,DHARMAPURI,Graduate Professional,"7,26,81,681",Anbumani Ramadoss,Pattali Makkal Katchi
254,0,0,DINDIGUL,12th Pass,0,Anburose. D,IND
255,0,0,SECUNDERABAD,Graduate,0,Andrapu Sudharshan Gangaputra,IND
256,0,0,SECUNDERABAD,Graduate Professional,0,Andukuri Vijaya Bhaskar,India Praja Bandhu Party
257,0,0,VIJAYAWADA,Graduate Professional,0,Andukuri Vijaya Bhaskar,India Praja Bandhu Party
258,0,0,BELGAUM,Graduate Professional,"19,84,79,638",Angadi Suresh,BJP
259,0,0,OUTER MANIPUR,Graduate,"14,60,000",Angam Karung Kom,NCP
260,0,0,MALDAHA DAKSHIN,Graduate,0,Angshudhar Mandal,SUCI(C)
261,0,0,NIZAMABAD,5th Pass,0,Angu Poshetty,IND
262,0,0,BELGAUM,10th Pass,0,Anil Baban Hegade,IND
263,0,0,MADHEPURA,Post Graduate,0,Anil Bharti,Rashtravadi Janata Party
264,0,0,LAKHIMPUR,10th Pass,0,Anil Borgohain,INC
265,0,0,YAVATMAL WASHIM,Post Graduate,"10,20,000",Anil Jayram Rathod,IND
266,0,1,MEDAK,10th Pass,"3,81,00,000",Anil Kumar Gali,INC
267,0,0,FATEHPUR SIKRI,Graduate,0,Anil Kumar Kushwaha,IND
268,0,1,KHAMMAM,Post Graduate,0,Anil Kumar Maddineni,IND
269,0,1,VIJAYAWADA,Post Graduate,0,Anil Kumar Maddineni,IND
270,0,0,RAMTEK,8th Pass,"21,00,000",Anil Mahadeo Dhone,IND
271,0,0,AMRAVATI,12th Pass,"1,20,000",Anil Namdevrao Jamnekar,IND
272,0,0,JAMMU,Graduate Professional,0,Anil Singh,IND
273,0,0,PURNIA,10th Pass,0,Anirudh Mehta,IND
274,0,0,NAVSARI,10th Pass,0,Anishbhai Gaffarbhai Bhimani,IND
275,0,0,UTTARA KANNADA,10th Pass,"27,10,000",Anita Ashok Shet,IND
276,0,0,JALNA,10th Pass,"20,22,033",Anita Lalchand Khandade (Rajput),IND
277,0,0,ASKA,Post Graduate,"1,79,25,000",Anita Subhadarshini,BJP
278,0,0,PILIBHIT,12th Pass,"50,00,000",Anita Tripathi,SHS
279,0,0,ATTINGAL,Graduate,0,Anitha,IND
280,0,0,NAGAPATTINAM,Others,0,Anitha V,BSP
281,0,0,NIZAMABAD,12th Pass,0,Anjaiah Kondani,Pyramid Party of India
282,0,0,JALGAON,Graduate,"36,65,000",Anjali Ratnakar Baviskar,Vanchit Bahujan Aaghadi
283,0,0,SECUNDERABAD,Graduate,"24,00,000",Anjan Kumar Yadav	,INC
284,0,0,KAKINADA,Illiterate,0,Ankadi Sathibabu,IND
285,0,0,MUZAFFARNAGAR,Graduate,0,Ankit,IND
286,0,0,YAVATMAL WASHIM,Graduate Professional,"5,80,000",Ankit Mohan Chandak,IND
287,0,0,VISAKHAPATNAM,Post Graduate,0,Anmish Varma,IND
288,0,0,DHARMAPURI,5th Pass,0,Annadhurai. K,Ganasangam Party of India
289,0,0,TIRUVANNAMALAI,5th Pass,0,Annadurai B,IND
290,0,0,TIRUVANNAMALAI,Graduate,"3,22,43,604",Annadurai C N,DMK
291,0,0,MADURAI,10th Pass,"40,000",Annadurai P,IND
292,0,0,TIRUVANNAMALAI,Graduate Professional,"4,99,000",Annadurai T S,IND
293,0,0,PERAMBALUR,Post Graduate,0,"Annadurai, V.",IND
294,0,0,MAYILADUTHURAI,8th Pass,"1,71,380",Annadurai. K,IND
295,0,0,THENI,10th Pass,0,Annakili,IND
296,0,0,JALNA,Illiterate,0,Annasaheb Devidasrao Ugale,IND
297,0,4,OSMANABAD,12th Pass,170,Annasaheb Ramchandra Rathod,Bhartiya Bahujan Kranti Dal
298,0,0,CHIKKODI,12th Pass,"19,55,95,693",Annasaheb Shankar Jolle,BJP
299,0,2,MADHA,Others,0,Annaso Sukhadev Maske,IND
300,0,0,KOPPAL,12th Pass,0,Annojirao.G,Sarva Janata Party
301,0,0,DURG,8th Pass,0,Anoop Kumar Pandey,IND
302,0,0,POLLACHI,Graduate,0,Ansari S,IND
303,0,0,BIJNOR,12th Pass,0,Anshu Chaitanya Maharaj,Hindusthan Nirman Dal
304,0,1,PATHANAMTHITTA,Graduate,"77,23,227",Anto Antony,INC
305,0,0,THOOTHUKKUDI,Graduate,"23,60,118",Anto Hillery M,IND
306,0,0,SRIPERUMBUDUR,Post Graduate,0,Antony.M,BSP
307,0,1,TEHRI GARHWAL,Graduate Professional,"3,50,000",Anu Pant,Uttarakhand Kranti Dal (Democratic)
308,0,0,NIZAMABAD,10th Pass,"2,75,000",Anugu Thirumal,IND
309,0,0,ETAH,Post Graduate,0,Anuj Kumar,Subhashwadi Bhartiya Samajwadi Party (Subhas
310,0,42,MALKAJGIRI,Graduate,"2,78,07,304",Anumula Revanth Reddy,INC
311,0,0,ARAKU,Post Graduate,"1,00,000",Anumula Vamsi Krishna,IND
312,0,0,LAKHIMPUR,Post Graduate,0,Anup Pratim Borbaruah,NCP
313,0,0,KARIMGANJ,12th Pass,0,Anupam Singha,IND
314,0,0,DURG,Others,0,Anurag Singh,Bhartiya Kisan Party
315,0,0,CHEVELLA,Graduate Professional,"46,00,000",Anusha Keshavabhatla,IND
316,0,0,PONNANI,10th Pass,0,Anvar P.V. Raseena Manzil,IND
317,0,5,BEED,Graduate,0,Anwar Khan Mirza Khan,IND
318,0,0,PONNANI,Graduate,0,Anwar P.V. Alumkuzhi,IND
319,0,0,BHUBANESWAR,Graduate,"43,29,959",Aparajita Sarangi,BJP
320,0,0,KANNUR,Graduate Professional,0,Aparna R,SUCI(C)
321,0,0,ANAKAPALLE,10th Pass,0,Appala Naidu Tummagonta,IND
322,0,0,KAKINADA,Post Graduate,"5,08,707",Appalakonda Vangalapudi,Mundadugu Praja Party
323,0,0,AHMEDNAGAR,Graduate Professional,"1,15,000",Appasaheb Navnath Palve,IND
324,0,0,CHIKKODI,12th Pass,0,Appasaheb Shripati Kurane,Bharipa Bahujan Mahasangh
325,0,0,DIBRUGARH,Graduate,0,Apurba Saikia,IND
326,0,0,VILUPPURAM,Illiterate,0,Arasan K,IND
327,0,0,DINDIGUL,12th Pass,0,"Arasur Manoharan (A) Manoharan, S.",BSP
